Question,Answer
Who acted as Capt. Adams in the movie 'Under Siege'?,Патрик О’Нил
Who acted as Oli in the movie 'Hostel'?,Eythor Gudjonsson
Who acted as Elder / Survivor in the movie 'Waterworld'?,Zitto Kazann
Who acted as Ellie in the movie 'Cursed'?,Christina Ricci
Who acted as Dmitriy Seleznyov in the movie 'Leviathan'?,Vladimir Vdovichenkov
Who acted as George in the movie 'Scary Movie 3'?,Simon Rex
Who acted as Joe Connor in the movie 'Shooting Dogs'?,Hugh Dancy
Who acted as Veronica Gorloisen in the movie 'The Sorcerer's Apprentice'?,Monica Bellucci
Who acted as Kate McCallister in the movie 'Home Alone 4'?,Clare Carey
Who acted as Mary Catherine in the movie 'Happythankyoumoreplease'?,Zoe Kazan
Who acted as Wendy Torrance in the movie 'The Shining'?,Shelley Duvall
Who acted as Edgar Paddington in the movie 'Valentine's Day'?,Héctor Elizondo
Who acted as Dee in the movie 'Crimes of Fashion'?,Jill Morrison
Who acted as Michael Lutz in the movie 'The Amityville Horror'?,Jimmy Bennett
Who acted as Kasey in the movie 'My Name Is Bruce'?,Janelle Farber
Who acted as Detective Burquez in the movie 'Evidence'?,Radha Mitchell
Who acted as Chen Sam in the movie 'Burton and Taylor'?,Lenora Crichlow
Who acted as Reinhardt in the movie 'Blade II'?,Ron Perlman
