Question,Answer,Wrong_Answer
"Jen used notecards and a study group to try to learn Spanish, and she found studying with the _ was more social. What does the blank refer to in the sentence?",study group,notecards
"Rachel is teaching Samantha how to read a book that is very interesting, since _ is a teacher. Who does the blank refer to in the sentence?",Rachel,Samantha
"Since he was feeling naueous, the man ate the banana instead of the hotdog because the _ soothed his stomach. What does the blank refer to in the sentence?",banana,hotdog
Carrie asked Angela what medicine the doctor had said to get but _ had forgotten. Who does the blank refer to in the sentence?,Angela,Carrie
Jessica was leading the discussion on the current political news but not Megan because _ neglected current events. Who does the blank refer to in the sentence?,Megan,Jessica
The restaurant was offering a crab dish instead of a shrimp dish since the _ were out of season. What does the blank refer to in the sentence?,shrimp,crab
Megan gave a skirt to Tanya to wear at her recital because _ was proud of her. Who does the blank refer to in the sentence?,Megan,Tanya
"Steven handed over the written exam to Adam, because _ wanted to pass the driving test. Who does the blank refer to in the sentence?",Steven,Adam
"Amy had to take a defensive driving course and Jennifer had already taken one, so _ asked all kinds of questions about it. Who does the blank refer to in the sentence?",Amy,Jennifer
"Jessica was sleeping with Amy, who was married, so _ went home to their spouse when they were done. Who does the blank refer to in the sentence?",Amy,Jessica
The girl decided to get her ear pierced rather than her lip because she thought piercing the _ would hurt less. What does the blank refer to in the sentence?,ear,lip
"The pink shirt went with her shoes but not her pants , since the _ matched . What does the blank refer to in the sentence?",shoes,pants
James cleaned his hair with a newly washed cloth and this got the _ clean. What does the blank refer to in the sentence?,hair,cloth
The fashion model kept the new gloves but threw out the pants because the _ were more stylish. What does the blank refer to in the sentence?,gloves,pants
The car with the electrical motor was able to travel further than the car with the gas motor because the _ motor car got worse mileage. What does the blank refer to in the sentence?,gas,electrical
"Cynthia built an intricate city on Minecraft, and Victoria accidentally deleted it which made _ freak out. Who does the blank refer to in the sentence?",Cynthia,Victoria
My shampoo did not lather easily on my Afro hair because the _ is too little. What does the blank refer to in the sentence?,shampoo,hair
Derrick found butterflies to be a nuisance but Ian like them a lot. _ planted some flowers around their house. Who does the blank refer to in the sentence?,Ian,Derrick
Sue took the lemons from the refrigerator and placed them into the bag until the _ was full. What does the blank refer to in the sentence?,bag,refrigerator
"It is easy for Joel to stay motivated but Joseph needs a lot of encouragement, I think _ is a self starter. Who does the blank refer to in the sentence?",Joel,Joseph
"Carrie was told at a young age that she would never have a modeling career like Katrina, due to _ being unattractive. Who does the blank refer to in the sentence?",Carrie,Katrina
"Saturday night William lost the blue denim jacket that he borrowed from Donald, so _ was very annoyed. Who does the blank refer to in the sentence?",Donald,William
Mary is taking care of Laura's babies at her home so _ is saying good-bye to the babies. Who does the blank refer to in the sentence?,Laura,Mary
"Robert made the choice to buy Neil's house, so _ had a lot more money in the bank afterwards. Who does the blank refer to in the sentence?",Neil,Robert
"Benjamin loved to travel all the time, but Craig disdained it, as _ hated being home all the time. Who does the blank refer to in the sentence?",Benjamin,Craig
"James was happy to perform the dance in sweatpants rather than a leotard, as he thought the _ looked very bad on him. What does the blank refer to in the sentence?",leotard,sweatpants
"Elena wanted to friend Maria on Facebook, but she didn't have an account. _ got help setting one up. Who does the blank refer to in the sentence?",Maria,Elena
"Our business struggled in the summer but prospered in the winter, as there were fewer sales in the _ . What does the blank refer to in the sentence?",summer,winter
Jennifer had gotten a worse sunburn than Victoria because _ had stayed outside fishing for longer. Who does the blank refer to in the sentence?,Jennifer,Victoria
Amy wanted to set a coyote trap but Samantha insisted not to. _ was obsessed with wild animals and wanted them healthy. Who does the blank refer to in the sentence?,Samantha,Amy
The acid reflux of Erin was worse than Kayla because _ ate has eaten healthy foods for a long time. Who does the blank refer to in the sentence?,Kayla,Erin
Jameson went to the DMV to get his license and wore the hat for the picture but left the bowtie because the _ was strange. What does the blank refer to in the sentence?,bowtie,hat
There were two houses; one made of straw and one made of concrete; the house made from the _ was solid. What does the blank refer to in the sentence?,concrete,straw
"Megan's personality is more friendly and kind, while Laura is mean, so _ is probably more outgoing. Who does the blank refer to in the sentence?",Megan,Laura
The seamstress wanted to sew the button on the collar of the coat but the _ was too small. What does the blank refer to in the sentence?,collar,button
"They sold their apartment and moved to a new house after she got pregnant, because the _ was too small. What does the blank refer to in the sentence?",apartment,house
The man tried to fit his briefcase inside the cubicle but the _ was too small. What does the blank refer to in the sentence?,cubicle,briefcase
James believes he could get the same number of grams  of stones with equal volume of oil but he was wrong because the _ is lighter. What does the blank refer to in the sentence?,oil,stone
"The rental car company would not let Victoria rent a car, but would let Kayla, due to _ being underage. Who does the blank refer to in the sentence?",Victoria,Kayla
"Derrick made some ramen noodles for lunch while Logan had a salad, _ felt healthy. Who does the blank refer to in the sentence?",Logan,Derrick
"Cynthia carried a purse frequently, while Angela did not, because _ preferred to carry her things in a purse. Who does the blank refer to in the sentence?",Cynthia,Angela
"Joel shredded the guitar solo while Hunter hammered on the piano, because _ was an excellent guitarist. Who does the blank refer to in the sentence?",Joel,Hunter
Sarah was planning a surprise vacation for Megan to Canada and _  was trying to keep it a secret. Who does the blank refer to in the sentence?,Sarah,Megan
The communist party won elections in the city but lost in the country. The _ despised the party. What does the blank refer to in the sentence?,country,city
It is a lot easier to consume ginger than turmeric because the _ is spicier. What does the blank refer to in the sentence?,turmeric,ginger
Megan created malware in her spare time until she was caught by Amy since _ is a law-abiding citizen. Who does the blank refer to in the sentence?,Amy,Megan
Being a soldier in the war suited Justin but not Randy because _ had always been courageous. Who does the blank refer to in the sentence?,Justin,Randy
Dennis decided to start a compost near the fence they shared with Craig because _ did not care what others thought. Who does the blank refer to in the sentence?,Dennis,Craig
"Jen brought lots of treats and games to the first day of kindergarten, but she knew the kids would just want to eat the _ . What does the blank refer to in the sentence?",treats,games
"Victoria was worried about Angela's stuffy nose, because _ began to observe constant sniffling and sneezing. Who does the blank refer to in the sentence?",Victoria,Angela
"Sarah loved wearing fine jewely As were Jennifer loved making fine jewelry for others to wear, _ loved sporting fancy things. Who does the blank refer to in the sentence?",Sarah,Jennifer
"Kevin was keen to get the landlord to make some renovations but Neil didn't care, because _ was moving in. Who does the blank refer to in the sentence?",Kevin,Neil
"Never clean, Elena really irritated Katrina, as _ was so turned off by her with her odor. Who does the blank refer to in the sentence?",Katrina,Elena
"Laura needed their wisdom teeth removed and Mary drove them home after, which means _ was helpful. Who does the blank refer to in the sentence?",Mary,Laura
"Adam had a soft spot for goth fashion, which Ian wore, so _ was always appealing to them. Who does the blank refer to in the sentence?",Ian,Adam
"Malcolm wanted to loose weight become thin and beat obesity, because the _ way was unhealthy. What does the blank refer to in the sentence?",obesity,thin
"In the college entrance exam, Benjamin did well on the TOEFL test, but Jeffrey did not because _ had a hatred for English. Who does the blank refer to in the sentence?",Jeffrey,Benjamin
"Monica's favorite hobby is making cakes, while Felicia likes soccer. _ wants to be an athlete. Who does the blank refer to in the sentence?",Felicia,Monica
Jerry was making pancakes for breakfast but realized he had eggs but he didn’t have milk. It was necessary to go to the store for the _ . What does the blank refer to in the sentence?,milk,eggs
At the airport the TSA worker tried to get the carry-on into the xray machine but the _ was too small. What does the blank refer to in the sentence?,xray machine,carry-on
Katrina likes to keep moving whilst Angela likes to stay still because _ is calm. Who does the blank refer to in the sentence?,Angela,Katrina
"The peak of our day was the beach walk not the shopping, because the _ was more memorable. What does the blank refer to in the sentence?",beach walk,shopping
The maid tried to hide the clothes in the hampers but the _ were too small. What does the blank refer to in the sentence?,hampers,clothes
Patricia brought a box of pine cones to decorate Samantha's office but it was cleared out. _ was gone. Who does the blank refer to in the sentence?,Samantha,Patricia
"Lindsey has to deal with constant fainting so she goes to doctor Elena, because _ is a doctor. Who does the blank refer to in the sentence?",Elena,Lindsey
"Gator attempted to fit the equipment on the back of the truck, but the _ was too cramped. What does the blank refer to in the sentence?",truck,equipment
"Rebecca's toddler was a better eater than Kayla's, as a result of _ being spoiling her more. Who does the blank refer to in the sentence?",Kayla,Rebecca
William was ordered to pay alimony but not Christopher because _ had just become recently married. Who does the blank refer to in the sentence?,Christopher,William
Carrie always remembers to take her supplements and Betty always forgets so _ remembers more. Who does the blank refer to in the sentence?,Carrie,Betty
"William thinks it will be neat to work on the farm, but Aaron doesn't think so as _ hates getting their hands dirty. Who does the blank refer to in the sentence?",Aaron,William
"It was simple for Robert to build a website but not Steven, as _ was inexperienced in HTML and Javascript. Who does the blank refer to in the sentence?",Steven,Robert
The woman traded her beads for buttons at the flea market because she had too many of the _ . What does the blank refer to in the sentence?,beads,buttons
I decided to use the cabbage instead of the lettuce in my salad since the _ is tastier to me. What does the blank refer to in the sentence?,cabbage,lettuce
"My toes never fit into my shoes properly, probably because the _ are too narrow. What does the blank refer to in the sentence?",shoes,toes
"The prudish Angela did not like hanging out with the uninhibited Lindsey , as _ loved watching pornography. Who does the blank refer to in the sentence?",Lindsey,Angela
Jane tried a chisel to cut the slate but it never worked so he used a cutter. The _ is blunt. What does the blank refer to in the sentence?,chisel,cutter
"The faster acting medicine came from an herbal solution, not a chemical one. The _ must be more efficient. What does the blank refer to in the sentence?",herbal,chemical
John threw a punch at the window and got it broken when fighting with Jill. The _ is strong. What does the blank refer to in the sentence?,punch,window
Ben received candles and sculptures as a house warming gift. He added the _ to the home because it made it look artistic. What does the blank refer to in the sentence?,sculptures,candles
Sidney recently bought a silk bikini and she also had an old one made of cotton. The _  bikini was bought two days ago. What does the blank refer to in the sentence?,silk,cotton
The diet Michael decided to follow was more efficient than the one  William is following  because _  has a lot of vegetables on it. Who does the blank refer to in the sentence?,Michael,William
The bike got broken when James rode it with a load on it. The _ is heavy. What does the blank refer to in the sentence?,load,bike
Robert told Dennis that the children had to go to sleep by 9pm because _ was babysitting. Who does the blank refer to in the sentence?,Dennis,Robert
He bought her a plain band but she wanted a ring with a gemstone - the _ was much cheaper. What does the blank refer to in the sentence?,band,gemstone
Betty is cooking king crab legs for her friend Sarah's birthday because _ enjoys crab legs... Who does the blank refer to in the sentence?,Sarah,Betty
"Robert checked the thermometer before reassuring Randy that the baby would be fine, because _ worked as a nurse. Who does the blank refer to in the sentence?",Robert,Randy
Joel didn't want to let Logan play with the slot machine seeing as how _ was on a hot streak. Who does the blank refer to in the sentence?,Joel,Logan
"The woman burned her mouth on the bisquit while the man happily ate the muffin, because the _ was cooled. What does the blank refer to in the sentence?",muffin,bisquit
"Megan had a higher college degree than Maria, so _ was offered more promotions at work. Who does the blank refer to in the sentence?",Megan,Maria
"Benjamin suffered a sudden sharp back spasm after picking Kyle up, because _ was too old. Who does the blank refer to in the sentence?",Benjamin,Kyle
"We left the boat in the dock and took the barge instead, as the _ had a difficult time on the wavy ocean. What does the blank refer to in the sentence?",boat,barge
The pig needed a bath but we went through the wash rather than using the hose since the _ covered most of the pig. What does the blank refer to in the sentence?,wash,hose
"Ethan wanted to bake codfish for dinner, but he couldn't fit it into the pan because the _ was small. What does the blank refer to in the sentence?",pan,codfish
"Kevin had a head full of hair, but Steven was going bald, so _ was thankful for the thick locks. Who does the blank refer to in the sentence?",Kevin,Steven
David got to the house long before Joanne because he took his car and she took the boat.  The _ was slower. What does the blank refer to in the sentence?,boat,car
"Tanya drank almond milk while Rachel drank whole milk, _ tended to lose more weight. Who does the blank refer to in the sentence?",Tanya,Rachel
Kenneth told Neil that he is building his own backyard fence.  _ is hardworking. Who does the blank refer to in the sentence?,Kenneth,Neil
Cynthia stayed the night at Amy's house because _ wanted to help her recover after the surgery. Who does the blank refer to in the sentence?,Cynthia,Amy
Sarah asked Patricia how to clean a nebulizer because _ had been diagnosed as an asthmatic for years. Who does the blank refer to in the sentence?,Patricia,Sarah
Maggie spent more time in her garden than at the park because it was more peaceful at the _ . What does the blank refer to in the sentence?,garden,park
"The stains could not be removed with detergent, but the soap did the job.  The _ was tough in cleaning power. What does the blank refer to in the sentence?",soap,detergent
There was a lot of fear in Erin's heart and not Cynthia's because _ was a fearful person. Who does the blank refer to in the sentence?,Erin,Cynthia
I prefer steel-cut oat to quick-cook oat as the _ has mushy texture when cooked. What does the blank refer to in the sentence?,quick-cook oat,steel-cut oat
They had the carpet installed instead of the hardwood floor because the _ clashed with the rest of the decor. What does the blank refer to in the sentence?,floor,carpet
Nick just bought a new webcam and asked Brett to help set it up since _ knew how. Who does the blank refer to in the sentence?,Brett,Nick
"Jake wanted to watch the battle with the robot on tv, but had a hard time seeing everything because the _ was too small. What does the blank refer to in the sentence?",tv,robot
The group blamed Christine for the mistake and not Laura because _ followed the rules. Who does the blank refer to in the sentence?,Laura,Christine
Mary loved to make their grandma's muffins unlike Betty because _ had a caring grandma. Who does the blank refer to in the sentence?,Mary,Betty
"Since Ryan had a VPN and virus scan on their computer and Derrick did not, _ had good security overall on their computer. Who does the blank refer to in the sentence?",Ryan,Derrick
"Since he was afraid of heights, the man moved from the staircase to the platform, because the _ was higher. What does the blank refer to in the sentence?",staircase,platform
Growing tomatoes was more difficult for the woman than growing carrots. The _ just seemed to be less stubborn. What does the blank refer to in the sentence?,carrots,tomatoes
"Kenneth asked Jason for some tips on growing the perfect mustache, because _ had never had one before. Who does the blank refer to in the sentence?",Kenneth,Jason
Eric suffered from a migraine quite often but Craig did not. _ went to the mall. Who does the blank refer to in the sentence?,Craig,Eric
"Grapes are a favorite of Kevin, but Leslie really can't stand the taste. _ is a fruit hater. Who does the blank refer to in the sentence?",Leslie,Kevin
Amy decided to go to Monica's gym to exercise because _ gave him a coupon for new customers. Who does the blank refer to in the sentence?,Monica,Amy
"Nelson asked Kevin how to get onto the internet, because _ was not computer savvy. Who does the blank refer to in the sentence?",Nelson,Kevin
William chased after Nick's hamster because _ asked her to be in charge of catching it and returning it to the cage. Who does the blank refer to in the sentence?,Nick,William
"Emily gave Monica a job at her catering business, as _ really needed the extra help. Who does the blank refer to in the sentence?",Emily,Monica
Monica stretched their muscles before they worked out but Sarah didn't bother. _ hurt themselves during their gym session. Who does the blank refer to in the sentence?,Sarah,Monica
The boat started to sink when James added more luggage into it. The _ is heavy. What does the blank refer to in the sentence?,luggage,boat
"He boss was responsible for the checks, and not the taxes, so the _ were prepared for all the employees. What does the blank refer to in the sentence?",checks,taxes
The skin was darker on Barry's arms than his legs because the _ were always covered. What does the blank refer to in the sentence?,legs,arms
"The refrigerator in my moms house worked a lot better than her freezer, because the _ was new. What does the blank refer to in the sentence?",refrigerator,freezer
"the camera could not focus well from the distance because of the light, the _ was too far. What does the blank refer to in the sentence?",camera,light
John could not take the beer and preferred to take the juice brought out of the fridge because the _ is warm. What does the blank refer to in the sentence?,beer,juice
Jeffrey went to the party but Ryan stayed at home because _ was very extroverted. Who does the blank refer to in the sentence?,Jeffrey,Ryan
Mark preferred to drink juice over water in the hot summer sun because the _ was delicious. What does the blank refer to in the sentence?,juice,water
Kenneth uses shampoo for color treated hair and Lawrence does not because _ does not have hair. Who does the blank refer to in the sentence?,Lawrence,Kenneth
The local farm grew oats for the horses and vegetables for the townspeople; the people liked eating the _ during the winter. What does the blank refer to in the sentence?,vegetables,oats
The man harvested more rice than he did corn because the _ was more scarce. What does the blank refer to in the sentence?,corn,rice
"The bank lost its stock trading business to the brokerage, as the _ was unskilled in trading. What does the blank refer to in the sentence?",bank,brokerage
The mail sent to john do not arrive on time although he had got the text message earlier. The _ is faster. What does the blank refer to in the sentence?,message,mail
Hunter owned a lot of animals but not Ian because _ had a soft heart. Who does the blank refer to in the sentence?,Hunter,Ian
"Since Elena was a homeowner and Erin lived in an apartment, _ sold their place of residence. Who does the blank refer to in the sentence?",Elena,Erin
I decided to change my exercise routine from running to swimming because the _  results were disapointing. What does the blank refer to in the sentence?,running,swimming
"There was no more room in the garden for an extra plant, because the _ was very huge. What does the blank refer to in the sentence?",plant,garden
"Erin went to Jennifer to stylize a wig, but no one was there. _ is a customer. Who does the blank refer to in the sentence?",Erin,Jennifer
the constructors tried to load the powerboat into the trailer but it could not fit because the _ was too small. What does the blank refer to in the sentence?,trailer,powerboat
"Lindsey liked the marketing consultant, but Sarah could see through the facade. _ was naturally a trusting person. Who does the blank refer to in the sentence?",Lindsey,Sarah
The man chose the watercolor for his paintings rather than the acrylic because the _ was attractive. What does the blank refer to in the sentence?,watercolor,acrylic
I kept the starfish but threw away the seashell because the _ was more ugly. What does the blank refer to in the sentence?,seashell,starfish
"Erin cook for Laura all the time, because _ is such a great food cooker. Who does the blank refer to in the sentence?",Erin,Laura
I always hang photos on wall with the nails compared to using strips because the _ are weak. What does the blank refer to in the sentence?,strips,nails
Patricia wanted to host a weight loss talk show and Laura wanted to host a comedy talk show because _ was more comedic. Who does the blank refer to in the sentence?,Laura,Patricia
Benjamin had a more juvenile sense of humor than Donald so _ hated whoopie cushions. Who does the blank refer to in the sentence?,Donald,Benjamin
The towels at my moms house are better than the napkins because the _ soak up less water. What does the blank refer to in the sentence?,napkins,towels
Carrie gave concert tickets to Mary; then _ sold them because she hated the artist. Who does the blank refer to in the sentence?,Mary,Carrie
Lindsey borrowed powdered sugar from Patricia to make icing because _ did not have any. Who does the blank refer to in the sentence?,Lindsey,Patricia
We couldn't fit the new machine in the garage because the _ was very huge. What does the blank refer to in the sentence?,machine,garage
The young mother emptied out the drawers that held the photos of her high school boyfriend; when she was done the _ were empty. What does the blank refer to in the sentence?,drawers,photos
Mack wanted the mop to do some spring cleaning in his house but could only find the broom. He always found the _ to be more thorough. What does the blank refer to in the sentence?,mop,broom
"Nelson had a mental block about their feelings for Hunter, so _ was unable to make the first move. Who does the blank refer to in the sentence?",Nelson,Hunter
"She preferred the bedroom next to the kitchen compared to the one next to the toilet, because the bedroom next to the _ had stronger odor. What does the blank refer to in the sentence?",toilet,kitchen
"Because the _ failed in turning a profit, the bank went bankrupt while the brokerage prospered. What does the blank refer to in the sentence?",bank,brokerage
"The seeds were a better deal than the plants, because the _ were full price. What does the blank refer to in the sentence?",plants,seeds
The guitar that I own is worth more money than my ukulele. This is likely due to the fact that the _ was made in a sturdy fashion. What does the blank refer to in the sentence?,guitar,ukulele
"Randy's bird can not talk, but Jason taught his to, so _ is a success at teaching birds. Who does the blank refer to in the sentence?",Jason,Randy
Emily is jealous of Tanya for her body as _ easily gains weight when she is eating a lot of food. Who does the blank refer to in the sentence?,Emily,Tanya
William sold all his cookies unlike Justin as _ cooked his cookies at the wrong temperature. Who does the blank refer to in the sentence?,Justin,William
