Question,Answer,Origin
"For the statement, ""take the whole grass the whole yard"", does the hypothesis ""Take all the grass and whole yard"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""If you mean was I with th' Confederate army, Yankee I sure was, from Shiloh clean through"", does the hypothesis ""Shiloh was in the army"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The center of the capital is a kaleidoscope of golden rooftops, multicolored costumes, steep temple steps layered with wares like market shelves, country women hawking produce spread on the streets, sari-draped matrons placing flower petals on altars to grimacing gods, the sudden eruption of a band of musicians or a herd of goats across your path, the scent of marigold garlands and of dumplings fried in oil, the constant jangling of bicycle bells and rickshaw horns"", does the hypothesis ""The center of the capital is very tranquil"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Presidents derived their license to serve as leader-preacher from Theodore Roosevelt's remark that the presidency was a bully pulpit, a remark that did not appear in his Inaugural Address"", does the hypothesis ""Presidents generally do not think they should serve as leader-preacher, and Roosevelt agreed"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""i don't i don't know if uh can't make any judgments of that nature but uh i don't really want to either because i have no problems about it either way"", does the hypothesis ""I don't know how I feel about it, so I just won't say anything"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, "", over $1,000) bottle of Bordeaux wine, three bidders submitted eight different bids in the first three days"", does the hypothesis ""The Bordeaux cost $1000 for one bottle at the exclusive wine auction"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""It works--but not as well as intravenous hydration"", does the hypothesis ""It will never work"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Ah, the smell of it"", does the hypothesis ""Ah, the way it smells"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""i know i don't credit cards almost seem unfair to a person who's who's got a victim of impulse buying"", does the hypothesis ""A person that buys things impulsively should be fine with a credit card "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""It was published in the Federal Register as a final rule on January 15, 1998"", does the hypothesis ""It was never published in the Federal Register"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""because i'm not you know that's one of my problems is controlling my my my irons on a par three so i have a lot of trouble hitting the greens"", does the hypothesis ""I never have any issues controlling my irons "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""A boat cruise on the Seine is one of the best introductions to the city"", does the hypothesis ""The city does not have any internal or surrounding bodies of water, so only transportation by land is possible"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""very good point but i think they need should do that and then the families will have said"", does the hypothesis ""That's a silly point, but I think they shouldn't do that"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""In 1565 she married her young cousin Henry, Lord Darnley, much to the chagrin of Elizabeth (Darnley was a grandson of Margaret Tudor and thus also had a claim to the English throne)"", does the hypothesis ""In the old days, marrying a family member was a normal thing to do "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""well no there's there's no question but you have a nineteen i mean i've got to see i mean i've seen and i've had friends that have uh like uh eighty one or eighty uh Celicas"", does the hypothesis ""I have friends that owned eighty or eighty-one Celicas  "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""I was pottering around Virtual Ben Franklin's virtual office, poking things"", does the hypothesis ""I was going around the park and touching things"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""that he yeah it is oh well is that you got anything else to say i don't think i do"", does the hypothesis ""There is nothing to say on this topic, everything's been said already"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""and uh and the uh PC Junior was a total failure"", does the hypothesis ""The PC Junior had some advantages but they weren't enough"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""But he was puzzled"", does the hypothesis ""It confused him so that he couldn't figure it out without assistance"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""But after that, you're on your own"", does the hypothesis ""I will always help you"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""right well that's good that's good that sounds like a lot of fun"", does the hypothesis ""That sounds good; how do I sign up?"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""uh-huh yeah it's i have not uh i have not seen vacation policies you know written in about seven years so i'm not real sure how they're how they're changing what they're doing now"", does the hypothesis ""The vacation policy has changed since I last saw it"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""With the hiring of three fulltime program counsel or analysts in the last six months, the state planning team is now fully staffed (in terms of the 2001 budget)"", does the hypothesis ""Three full time program analysts were hired in the last six months"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""it was same time period yes"", does the hypothesis ""It was the same time frame as the shogun"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Both options have food and drink waiting at the end"", does the hypothesis ""People are typically reluctant to have the food at the end of either option"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""you know is there something else we could have done you know in checking out all the places that uh might be available course there's you know there's not one on every corner especially in you know smaller areas smaller towns"", does the hypothesis ""We helped you to our fullest extent"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""uh-huh yeah that's what like well um now i know we have an old we call it an old folks home but it's basically a nursing home too but everyone has basically their own room"", does the hypothesis ""No one has their own room at the nursing home"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Few residents venture to this fantasy mall, where whimsical shops and fun, informal restaurants vie for tourist dollars, though some undesirable characters often loiter around the courtyard"", does the hypothesis ""The fantasy mall features unique shops, casual dining, and fun experiences"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Last week we purged our delivery lists of people who hadn't subscribed"", does the hypothesis ""We kept everyone on the list even though many hadn't signed up"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""They're not human, said the Kal"", does the hypothesis ""Kal thought poorly of them"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""1 The advantages and disadvantages of effluent grab and composite samples are listed "", does the hypothesis ""The advantages and disadvantages of effluent grab and composite samples are listed"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""so they quit charging the extra i don't whether they they drop the ir price back to the cash price or raised all their prices up to the charge price"", does the hypothesis ""I know that they raised the prices to one level"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""She might be in my sitting-room He disappeared"", does the hypothesis ""She might be in my room and he is gone"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""How long should you date a man before deciding if he is right for you?"", does the hypothesis ""Should you date someone you know isn't right for you?"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""The NYT features a sprawling op-ed by Tom Clancy called Know the Answers Before Going to War"", does the hypothesis ""Tom Clancy created a spawling op-ed called Know the Answers Before Going to War"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""You should try being gay and living here"", does the hypothesis ""You should see what it's like to reside here while being gay"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The one to the joint venture?"", does the hypothesis ""The one to the solo operation?"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""and i really don't think she ever turned it in but you know"", does the hypothesis ""I don't think she ever turned it in"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""God maybe i'll take it out i hadn't even thought about it"", does the hypothesis ""I'll take it out, I hadn't thought of it"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Ghirlandaio, master teacher of Leonardo da Vinci, decorated the Sassetti Chapel (far right of the high altar) with frescoes of St Francis, and the Adoration of the Shepherds on the altar is considered his masterpiece"", does the hypothesis ""Ghirlandaio was a jealous competitor of Leonardo da Vinci"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Senior executives receive a summary evaluation, which combines the"", does the hypothesis ""Senior executives are presented with a full evaluation, never summaries"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""I'd call it a bad date"", does the hypothesis ""I'd consider it a bad date because the girl was rude to the waiter"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Many of the comments sought clarification of what we expected of the agencies and what they could expect from GAO"", does the hypothesis ""Many of the comments sought clarification, among other things"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Many are still standing, and some are registered as National Treasures"", does the hypothesis ""There are many that is still intact, while some of them are considered National Treasures"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""uh because otherwise uh you know they're not going to go house to house collecting it and you're not going to bother if you have one bag full to drive all the way to some recycling center to turn in just your little plastic peanuts"", does the hypothesis ""Most people don't bother to recycle little plastic peanuts"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Tate, now in private practice in Marion, was hired as the program's first director in 1972 after a Marion-based community action program secured grant money to establish the Smyth-Bland Legal Aid Society"", does the hypothesis ""Tate is in public practice in Washington"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Yes, sir, I recognized you at once"", does the hypothesis ""Sir, of course, I recognized you immediately"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""i didn't i don't want to assume that that's what i figured no i'm a college i'm a university student so uh"", does the hypothesis ""I didn't want to assume that because I was afraid that I would offend you "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""This information is also courtesy of the Washington Post , which quoted public testimony from a senior Pentagon analyst that Clinton had neutered the agency"", does the hypothesis ""This information is from the Washington Post, which quoted a testimony from the Pentagon that Clinton never neutered the agency"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""In retrospect, though, two things seem clear"", does the hypothesis ""Those two things were clear to everyone"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""However, without a majority, the communists were forced to form a coalition government, and in fact elections since 1994 have repeatedly ended in coalition governments being formed"", does the hypothesis ""Coalition governments in Nepal are often formed because the Communist Party does not have sufficient power to take over "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Levesh and Palazzolo both bring experience in representing domestic violence victims"", does the hypothesis ""Domestic violence victims are the second biggest group of law cases"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Program officials stated that testing of engineering prototypes uncovered problems with missile design and manufacturing tooling early in the development, during system integration, allowing time to re-design and re-test in follow-on configurations"", does the hypothesis ""The program was required to create engineering prototypes before designing the real missiles"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""well sound like you got your hand fulls there and i do appreciate speaking with you"", does the hypothesis ""You sound pretty busy"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The clumping of hobnailed boots on the gravel outside proclaimed the approach of Manning "", does the hypothesis ""Manning silently snuck up"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""That moment--that prayer--sounds like a cliche"", does the hypothesis ""That prayer sounds like a trite phrase"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""And they've distorted the health costs that smokers impose on the government"", does the hypothesis ""They have provided a comprehensive and reliable report on the liability of smokers "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""The west corral is ready for your use as always"", does the hypothesis ""You can use the big red west corral just like you did the last 5 times"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""In appearance, Montmartre is still the little country village of 400 years ago ' narrow, winding, hilly streets and dead-ends"", does the hypothesis ""Montmarte is vastly dissimilar to the place it was just 400 years ago"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""The bough creaked and swayed in a nasty fashion, and it didn't do to think of the drop below, but at last I got safely to where I wanted to be"", does the hypothesis ""I would certainly die if I fell that far  "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""i used i used to live in the house that the guy owned"", does the hypothesis ""In the past, I lived in the guy's house"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Among attractions, both the Jardim Botanico (Botanic Garden), with its bird park, and the gardens at Quinta do Palheiro Ferreiro are good targets for kids"", does the hypothesis ""There aren't really any good targets for kids"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""If there ever was a highway project that could be defined as pork, it's the Southern Connector"", does the hypothesis ""The Southern Connector could be defined as beef, also"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The LAT leads with the likely stance President Clinton will take in separate White House meetings this week with Netanyahu and Arafat--gentle persuasion, not tough talk"", does the hypothesis ""President Clinton will engage in gentle persuasion with Netanyahu and Arafat"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Most responses played with pop star excesses"", does the hypothesis ""None of the replies mentioned anyone famous"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""I've told you about their size"", does the hypothesis ""I have told you about their size"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""In wooing Katherine, the French princess whose country and relatives he has just laid waste to, Henry, having never met the girl, calls her an angel and claims to be in love with her"", does the hypothesis ""Katherine is the king of france"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""and i had to have an alignment done last year so i had that done"", does the hypothesis ""I haven't had the alignment done yet"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""David Geffen, Michael Eisner, Steven Spielberg, Sumner  These are among the most prominent faces of the New Economy"", does the hypothesis ""Steven Spielberg has been listed as one of the most prominent faces of the New Economy because of his success and dedication to cinema and people"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""After a few months, trouble begins to brew--invariably with her supervisor"", does the hypothesis ""Trouble begins to brew with her supervisor after a few months"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Pundit  Last week, President Clinton claimed on Meet the Press that he hasn't eaten at McDonald's since becoming president"", does the hypothesis ""McDonald's used to be Clinton's favorite restaurant, which he formerly visited three times a week"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""and uh well it's right uh you know i'm trying to think where it is it's not too far over the border and it's up in the middle of the Arbuckles and it's near Turner Falls"", does the hypothesis ""I used to know where it is but I don't know anymore"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Bah! retorted the other"", does the hypothesis ""The person is having a conversation"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""well yeah you know and and it was it was just automatic too no matter where you were you stopped and and sat down and watched it i think it's come around again it's gone through cycles but uh"", does the hypothesis ""It's been consistent the whole time"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Well, any technology can be used for good or ill"", does the hypothesis ""That technology cannot be used for evil"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, """"Can't someone pick him off with a rifle?"""", does the hypothesis ""Can't someone tickle him with a feather?"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Today, the memory of Psychic Friends would live on in all our minds as a great and kooky American success story; we wouldn't have hundreds of psychics worried about their futures; and Lasky would still be ridiculously wealthy"", does the hypothesis ""The Psychic friends is a great and kooky american success story because it made a lasting impression "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""While gaining access to justice is their first priority, most legal-aid organizations put marketing and development on the back burner"", does the hypothesis ""None of the legal-aid organizations put marketing on the back burner"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""He said if access to that counseling is not available, screening and interventions are less likely to happen in the ED"", does the hypothesis ""The interventions help save lives"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""In other words: when a parent wanted to have some peace and quiet, he or she would leave the kid at home in front of the computer with a bag of chips"", does the hypothesis ""Parents could never get any peace and quiet from their children, no matter what"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""it's about two hours north of Pittsburgh"", does the hypothesis ""It is close to two hours up from Pittsburgh"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""LSC attorneys representing commuter aliens who migrate daily would be placed in the predicament of representing such aliens only in claims that happened to arise during the portion of the day when the alien was in the United States"", does the hypothesis ""LSC attorneys only represent commuter aliens with issues that happened within the United States"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The southern end of Pichola has the best view of the lake, taking in the two island-palaces and the CityPalace beyond"", does the hypothesis ""The best view of the lake is at the southern end of Pichola"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""I wonder now if his problem isn't that he realizes he can't be and so--to paraphrase Baldwin's famous, if apocryphal, observation--this son must kill his father"", does the hypothesis ""The son must murder his father with a knife or poison"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""However, traditional Greek dances and musical performances, as well as clubs with DJs spinning dance music can be found"", does the hypothesis ""There is a mix of traditional Greek culture, and modern clubs"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""i didn't catch anything but i've been up there"", does the hypothesis ""I caught so much when I was up there "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""A valid cause-and-effect design-that is, one with internal validity-rules out alternative explanations of results by comparing what happened with an intervention to what happened in the absence of the intervention"", does the hypothesis ""The intervention might be causing a bunch of problems"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""The church's dimensions are 212 m (695 ft) exterior length, 187 m (613 ft) inside length; 132 m (435 ft) to the tip of the dome (diameter 4245 m/139 ft)"", does the hypothesis ""The church is nearly 700 feet long and over 400 feet tall"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""How did the team do last night?"", does the hypothesis ""Don't tell me about the team"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""they're on backwards huh oh jeez all that work and"", does the hypothesis ""All that work, for nothing!"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""or you want to take the other side of it you can argue that's one of those you can pick either side and we could spend a lot of time on it because"", does the hypothesis ""Or if you want to play devil's advocate, you could argue that either stance is one that could be debated at length"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""it was already setup when we bought it"", does the hypothesis ""The TV was fuzzy like it is now the day we bought it"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""um we had all the great civil rights legislation of nineteen sixty eight"", does the hypothesis ""We had available to us, the entire civil rights legislation of 1968"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""More fathers need to buckle down on the home front, which would improve the attitude and motivation of mothers too"", does the hypothesis ""No matter what fathers do on the home front, mothers will never be motivated"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Statutory authorization for the rules"", does the hypothesis ""Statutory ban of the rules"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""uh Israel and the Middle East Arab countries and and when we have when we have a lot of problems right right in our own back door"", does the hypothesis ""We have enough of our own problems to deal with "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Technical Assistance funds were given to assist merging programs in Arkansas, Iowa, North Dakota, and Pennsylvania"", does the hypothesis ""Technical Assistance funds were not given to assist merging programs but rather to buy snacks"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""The word that is used around Doug is 'operator"", does the hypothesis ""Operator or its synonyms are used around Doug"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""And, instead of sitting there as dumb as a fish, let him banish his blushes, and tell us all about it"""", does the hypothesis """"Let him stop talking as we have heard more than enough about it"""" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""so uh very much so except when we need them you know when they found oil in Mexico then we got very friendly with them again"", does the hypothesis ""We have no dealings with Mexico as a country"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""uh-huh and there's there's so many other things that i i have done you know in the meantime like i said so many baby gifts i've made a lot of bibs and wall hangings and so you know those don't take much time at all so it's no big deal for me to pick those up and do them"", does the hypothesis ""I've never done anything, I'm completely useless"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""yeah all it was they wasn't mild you know they was just bad side effects"", does the hypothesis ""They should explain on the box how bad the side effects could be and why they are so bad"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""His tales work by  After 353 pages and 11 months in prison, Wachtler has made a persuasive case for penal  to free nonviolent criminals, scrap drug laws, fund prison education and training programs, and more"", does the hypothesis ""Wachler argued for keeping nonviolent criminals in prison for life"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""but uh but they don't require a lot if the only the problem that i've seen in the past is like when you've got uh if you've got natural gas and heat of course you don't in the east i suppose you don't have a lot of natural gas heat but if you don't have your y our heat adjusted your gas adjusted right then you can get some stains you know on the ceilings and you know ceiling ceiling"", does the hypothesis ""Natural gas and heat is the best way to keep ceilings from becoming stained "" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""National saving represents resources available for investment to replace old factories and equipment and to buy more and better capital goods"", does the hypothesis ""More national savings meant a better quality of life for the people"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""well i think i don't know anybody personally either"", does the hypothesis ""I don't think I know anyone like that, either"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""A ten-minute walk to the north is Toshodaiji, which boasts rare examples of ancient architecture and sculpture"", does the hypothesis ""Toshodaiji is well known for their amazing flower gardens"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""However, CO2 has never been regulated as a pollutant under the Clean Air Act and does not pose any direct threat to human health unlike NOx, SO2 and mercury"", does the hypothesis ""NOx poses a significantly stronger risk to human health than SO2"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""well i've i've lost most of my hair so that's no real problem"", does the hypothesis ""I've lost most of my hair"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""It commonly refers to activities or costs between two or more agencies, departments, or bureaus"", does the hypothesis ""Activities include meetings"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Think of those surpluses as the way an oligarch's gas or oil gets converted into a billion dollar nest egg someplace outside the reach of the resurgent Communists, or Gen"", does the hypothesis ""The oil and gas industry is always a monopoly"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Though he describes himself as being to the right of Attila the Hun on crime, he authorized the Willie Hortenesque early parole of more than 700 sex offenders in 1992"", does the hypothesis ""He see's himself as hard on crime, but acknowledges that there can be cases for early parole, as there were in 1992 "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""so it's it's kind i mean it's not that cold in Raleigh in the wintertime but i mean the air conditioning is probably your biggest threat"", does the hypothesis ""Raleigh has sub-zero temperatures every day during the winter"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""yeah they end up juggling the lineup and trying to fit uh more inexperienced players into those roles and they just don't have the leadership don't have the skills to carry a team"", does the hypothesis ""They don't have the leadership or skills to manage a team"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""uh-huh my father my husband was like that but that was because he was working all the time establishing a business and running it certainly he i mean he got off work and he came home"", does the hypothesis ""My husband working all the time was hard for us "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""So  that was Don Cazar Hunt Rennie!"", does the hypothesis ""That was Emilio Estavez!"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""An unusual feature in the Hoysala temples is that their carvings are signed by the sculptors"", does the hypothesis ""It is common practice for sculptors to sign their carvings"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""10 Part of the reason that the US postal densities have such low values with a narrow range may be due to stale data"", does the hypothesis ""There are several other reasons that could be the culprit for this error in postal densities "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""oh okay real pretty like a swamp oh yeah yeah oh okay yeah i been uh i got uh talked to someone else before that was a uh a Texan but i guess that's uh that's what we're going to have this is uh a TI experiment to see how talk Texans talk to other people"", does the hypothesis ""Texans sound different to non-Texans"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Nevertheless, they have affected not only Catholic academic theology but also popular teaching and practice"", does the hypothesis ""Nevertheless, they affected not only the theology of Catholic academics but also popular teaching through their innovative philosophies"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Tears came into his eyes "", does the hypothesis ""His eyes welled up with tears because of the sad scene"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Khufu's son Redjedef, made a monumental change to Egyptian life when he introduced the solar deity Ra, or Re, into the Egyptian religion"", does the hypothesis ""The solar deity, Ra, was introduced into the Egyptian Religion by Khufu's son Redjedef "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""There's a good time coming once the old woman is dead and out of the way "", does the hypothesis ""The future is bright, without the old woman in the way"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""Other partners on this grant are the University of Michigan, providing servers, and NLADA, providing content and technical assistance"", does the hypothesis ""Other partners on this grant aren't the University of Michigan"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Yes, he said, nodding gravely "", does the hypothesis ""He said yes to wanting to go eat"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""And, if it hadn't been for Mr Poirot here, arrested you would have been, as sure as eggs is eggs!"""", does the hypothesis ""I don't agree with him, but I think he does have ideas that need more investigation"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Clinton and congressional Democrats have hijacked Livingston's resignation and turned it into a moral argument against Clinton's resignation"", does the hypothesis ""Livingston resigned to make Clinton's resignation look worse "" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""Oh, that's an extracurricular, unrelated to the union's real work"", does the hypothesis ""There is a strong link between the extracurricular and the union's real work"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""but now it seems that uh with the local economy bad and TI and straits it seems that uh"", does the hypothesis ""The local economy is controlled by TI"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""Historians agree with the mythmakers that the site and traditional founding date of 753 bc are just about right"", does the hypothesis ""The historians and mythmakers have argued in the past"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""While in college, they honed their skills playing regular volleyball--not a sport that pays its own way on campus"", does the hypothesis ""Unfortunately they never had the chance to play any sport in college"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""A casually elegant hotel set in what was once a pineapple plantation, with seaside freshwater pool and opportunities for snorkeling in crystal clear waters of a private white-sand beach"", does the hypothesis ""The hotel features a freshwater pool and snorkeling opportunities"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""and i have the same problem i mean you can tell him from me but it doesn't matter i mean i've i've had greasy fingernails for years  and it still takes me twice as long as i think it's going to take to do the job"", does the hypothesis ""Does it take you twice as long to do the job because of greasy fingernails?"" represent entailment, contradiction, or neutrality?",neutral,mnli
"For the statement, ""He plays it up because it endangers his opponents more than it endangers him"", does the hypothesis ""He puts on a better front because truly, it endangers those that oppose him than himself "" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""We reached the front end of the train- the tapered cockpit only a little way ahead"", does the hypothesis ""We were in the back of the train"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""yeah they they're always branded you know as a bunch of outlaws and if their if their"", does the hypothesis ""They are never considered to be outlaws"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""i think that yeah i think that we need to really address what we've done here and and then perhaps even a six month tour overseas that gives a much broader outlook"", does the hypothesis ""A 6 month overseas tour is sure to change perspectives"" represent entailment, contradiction, or neutrality?",entailment,mnli
"For the statement, ""The doctor's eyes held the deference accorded to a really rich man"", does the hypothesis ""The doctor's eyes displayed the shame associated with poverty"" represent entailment, contradiction, or neutrality?",contradiction,mnli
"For the statement, ""i i've i've got all the videos that i can get my hands on of of Miss Marple"", does the hypothesis ""I've been collecting Miss Marple videos since I was a young boy "" represent entailment, contradiction, or neutrality?",neutral,mnli
